,DiaBlaBitextMining,FloresBitextMining,AmazonReviewsClassification,MTOPDomainClassification,MTOPIntentClassification,MasakhaNEWSClassification,MassiveIntentClassification,MassiveScenarioClassification,AlloProfClusteringP2P,AlloProfClusteringS2S,HALClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,MasakhaNEWSClusteringP2P,MasakhaNEWSClusteringS2S,OpusparcusPC,PawsX,AlloprofReranking,SyntecReranking,AlloprofRetrieval,BSARDRetrieval,MintakaRetrieval,SyntecRetrieval,XPQARetrieval,SICKFr,STS22,STSBenchmarkMultilingualSTS,SummEvalFr
AlloprofReranking,0.6608144796380091,0.6434060511169836,0.8546606334841629,0.8703167420814479,0.7664253393665158,0.6931082861524003,0.8514027149321267,0.8404524886877828,0.6085972850678733,0.5713122171945701,0.7528506787330317,0.6262443438914027,0.7731221719457013,0.5392760180995475,0.5532126696832579,0.7257013574660633,0.6678733031674208,1.0,0.9090250912980683,0.971945701357466,0.8292595148095515,0.8469683257918552,0.9183465691619441,0.8771945701357466,0.7608144796380091,0.7847058823529411,0.6753846153846154,0.2524886877828054
SyntecReranking,0.7498359693314893,0.7443330977385442,0.8928256297676432,0.8902011360001442,0.8102898257690532,0.6494105936454233,0.8842734000769998,0.8731871764039436,0.703681078937541,0.5322292360917855,0.7973936063942734,0.638475983782953,0.8390235075339132,0.5132242812236891,0.5653974073258681,0.8047693388787965,0.6282042581756724,0.9090250912980683,1.0,0.9115138353879381,0.8385804978208216,0.8675761897286008,0.9887777727498982,0.8887531394387654,0.849928731636797,0.8525532254042961,0.7723251659254035,0.36928437304413037
AlloprofRetrieval,0.6559276018099548,0.6479134349907032,0.8186425339366515,0.9047058823529411,0.8066968325791856,0.7091723614663719,0.8782805429864253,0.8722171945701358,0.6257013574660634,0.5529411764705883,0.7781900452488688,0.652579185520362,0.8025339366515837,0.5904072398190046,0.5817194570135746,0.7295927601809955,0.668235294117647,0.971945701357466,0.9115138353879381,1.0,0.8183053225287703,0.8509502262443439,0.9358582775761186,0.9178280542986426,0.726606334841629,0.8127601809954751,0.6447963800904978,0.23375565610859728
BSARDRetrieval,0.5082835748797191,0.48987242377215423,0.7871628254660535,0.7421691596516051,0.6520460322506326,0.6244851157749567,0.7019283458598098,0.6719627454884166,0.7078580945737863,0.5731486886745928,0.8027340739974119,0.6262901008135892,0.7257831364877919,0.49144489914231987,0.4803549110894629,0.6477458328015656,0.6767608627684282,0.8292595148095515,0.8385804978208216,0.8183053225287703,1.0,0.6634981423623584,0.8468189610527662,0.7498642534025671,0.7095329090960545,0.7220713853843868,0.6682057291276527,0.37158249765674717
MintakaRetrieval,0.8004524886877828,0.7870904105200471,0.8352036199095023,0.8763800904977376,0.8058823529411765,0.6101633564326543,0.9023529411764706,0.895475113122172,0.6100452488687783,0.583710407239819,0.7012669683257918,0.55710407239819,0.803076923076923,0.5428959276018099,0.5559276018099547,0.8022624434389141,0.5475113122171946,0.8469683257918552,0.8675761897286008,0.8509502262443439,0.6634981423623584,1.0,0.8670331910180838,0.7965610859728507,0.8013574660633485,0.7257013574660633,0.7304977375565611,0.27592760180995474
SyntecRetrieval,0.739247494476407,0.7273150389012915,0.8835041519037674,0.8988891153684169,0.820154302343446,0.6809511959568204,0.8929613794452725,0.8782551643687693,0.7216905361696894,0.5391072197583346,0.8066245844730631,0.656213941659843,0.8376660107576206,0.5305097401751482,0.5689268989442288,0.8025068442516422,0.6457612164823899,0.9183465691619441,0.9887777727498982,0.9358582775761186,0.8468189610527662,0.8670331910180838,1.0,0.9096585897936714,0.8423267496895585,0.8607887058471378,0.7698816717280768,0.3352564538517292
XPQARetrieval,0.7112217194570136,0.7026459534572991,0.7927601809954751,0.9400904977375566,0.8703167420814479,0.5979456090107604,0.8947511312217195,0.9112217194570136,0.6240723981900452,0.5275113122171946,0.7942081447963801,0.6565610859728507,0.843710407239819,0.44380090497737557,0.6669683257918552,0.7885067873303168,0.5826244343891402,0.8771945701357466,0.8887531394387654,0.9178280542986426,0.7498642534025671,0.7965610859728507,0.9096585897936714,1.0,0.7493212669683258,0.8167420814479638,0.7031674208144797,0.21484162895927603
SICKFr,0.7683257918552037,0.7479037670464843,0.8649773755656108,0.7708597285067873,0.74289592760181,0.574731888909162,0.8117647058823529,0.7795475113122172,0.5960180995475113,0.5260633484162895,0.6664253393665158,0.47058823529411764,0.7396380090497737,0.36171945701357466,0.5002714932126697,0.8152036199095023,0.5686877828054299,0.7608144796380091,0.849928731636797,0.726606334841629,0.7095329090960545,0.8013574660633485,0.8423267496895585,0.7493212669683258,1.0,0.7358371040723982,0.94289592760181,0.42877828054298645
STS22,0.6334841628959276,0.6616655551768479,0.7541176470588236,0.8561990950226245,0.8106787330316743,0.7007104401038009,0.8062443438914028,0.7805429864253394,0.6870588235294117,0.2519457013574661,0.5690497737556561,0.583710407239819,0.6809049773755657,0.5517647058823529,0.44986425339366515,0.7290497737556562,0.6139366515837104,0.7847058823529411,0.8525532254042961,0.8127601809954751,0.7220713853843868,0.7257013574660633,0.8607887058471378,0.8167420814479638,0.7358371040723982,1.0,0.6481447963800905,0.29800904977375564
STSBenchmarkMultilingualSTS,0.6908597285067873,0.6961148462117053,0.7952941176470588,0.7163800904977375,0.6834389140271493,0.467306213429251,0.764524886877828,0.7427149321266968,0.5065158371040724,0.539366515837104,0.6816289592760181,0.3764705882352941,0.6975565610859729,0.28760180995475115,0.4691402714932127,0.7808144796380091,0.5681447963800905,0.6753846153846154,0.7723251659254035,0.6447963800904978,0.6682057291276527,0.7304977375565611,0.7698816717280768,0.7031674208144797,0.94289592760181,0.6481447963800905,1.0,0.3394570135746606
SummEvalFr,0.3036199095022624,0.34417095435759437,0.4413574660633484,0.25131221719457014,0.2571945701357466,0.22145798475092035,0.2506787330316742,0.1716742081447964,0.41873303167420817,0.23619909502262443,0.3226244343891403,0.3509502262443439,0.34036199095022623,0.16389140271493213,0.19990950226244344,0.363710407239819,0.25529411764705884,0.2524886877828054,0.36928437304413037,0.23375565610859728,0.37158249765674717,0.27592760180995474,0.3352564538517292,0.21484162895927603,0.42877828054298645,0.29800904977375564,0.3394570135746606,1.0
