model,bge-m3,distilbert-base-25lang-cased,distilbert-base-en-fr-cased,distilbert-base-fr-cased,sentence-camembert-large,sentence-flaubert-base,Solon-embeddings-base-0.1,Solon-embeddings-large-0.1,sentence-croissant-llm-base,bert-base-multilingual-cased,bert-base-multilingual-uncased,camembert-base,camembert-large,sentence-camembert-base,embed-multilingual-light-v3.0,embed-multilingual-v3.0,flaubert_base_cased,flaubert_base_uncased,flaubert_large_cased,e5-mistral-7b-instruct,multilingual-e5-base,multilingual-e5-large,multilingual-e5-small,udever-bloom-1b1,udever-bloom-560m,laser2,bge-m3-custom-fr,sentence_croissant_alpha_v0.2,sentence_croissant_alpha_v0.3,mistral-embed,LaBSE,all-MiniLM-L12-v2,all-MiniLM-L6-v2,distiluse-base-multilingual-cased-v2,multi-qa-MiniLM-L6-cos-v1,paraphrase-multilingual-MiniLM-L12-v2,paraphrase-multilingual-mpnet-base-v2,sentence-t5-base,sentence-t5-large,sentence-t5-xl,sentence-t5-xxl,text2vec-base-multilingual,text-embedding-3-large,text-embedding-3-small,text-embedding-ada-002,voyage-2,voyage-code-2,universal-sentence-encoder-multilingual-3,universal-sentence-encoder-multilingual-large-3,xlm-roberta-base,xlm-roberta-large
bert-base-multilingual-uncased,0.7070864433563969,0.9328142380422692,0.9354838709677419,0.9225806451612903,0.7966629588431591,0.8527252502780868,0.7765046215587871,0.7208810813325128,0.8620689655172413,0.9016685205784205,1.0,0.7121245828698554,0.8024471635150167,0.8238042269187986,0.8229143492769744,0.8165535705217044,0.7846496106785317,0.6738598442714127,0.6351501668520578,0.702636560138295,0.7770856507230256,0.7306708244123371,0.7862943646386112,0.8874304783092325,0.8344827586206897,0.8396929632558344,0.7005561735261402,0.7699666295884315,0.7423804226918799,0.7281423804226919,0.8450328231175568,0.7695216907675194,0.7753058954393771,0.8343531033941122,0.7339265850945494,0.8086763070077865,0.7953281423804227,0.8740823136818687,0.8491657397107898,0.8312381851414408,0.7837597330367074,0.8469410456062292,0.6470130199120209,0.7106463499308785,0.7561735261401558,0.7672969966629588,0.7303670745272525,0.8436978581521262,0.7796195398114584,0.8860956618464961,0.8309232480533927
camembert-base,0.3037045296354568,0.7379310344827587,0.7441601779755284,0.7895439377085651,0.43759733036707454,0.5519466073414906,0.3993770188246483,0.3099343661407995,0.5012235817575084,0.6800889877641825,0.7121245828698554,1.0,0.9345939933259176,0.5666295884315906,0.47630700778642937,0.4367560378567046,0.839377085650723,0.8513904338153504,0.850055617352614,0.24808098940918266,0.3704115684093437,0.34775837349466593,0.3993770188246483,0.7450500556173526,0.8144605116796441,0.5613527679635586,0.3067853170189099,0.38509454949944383,0.34505005561735264,0.35661846496106786,0.5057292277372845,0.6173526140155728,0.681868743047831,0.4870397182212564,0.6938820912124583,0.45272525027808674,0.4157953281423804,0.557285873192436,0.4985539488320356,0.47813995178505253,0.39488320355951056,0.5279199110122358,0.23161642150220552,0.2770052303268452,0.3397107897664071,0.4589543937708565,0.37263626251390436,0.486149741577636,0.43364111960403323,0.7810901001112347,0.8585094549499444
camembert-large,0.4392034736266606,0.8304783092324806,0.8353726362625139,0.8669632925472748,0.5706340378197998,0.667630700778643,0.5362109277812828,0.46323284300441103,0.6373748609566184,0.7810901001112347,0.8024471635150167,0.9345939933259176,1.0,0.667630700778643,0.5835372636262514,0.5629102270898944,0.7819799777530589,0.7873192436040044,0.7561735261401558,0.39870953634193307,0.5092324805339266,0.4734675744060455,0.5179664065870648,0.8291434927697442,0.8060066740823136,0.6679274710370999,0.4473859844271413,0.5154616240266964,0.47986651835372635,0.4972191323692992,0.6314384286486641,0.7161290322580646,0.7543937708565073,0.6158638373853073,0.739265850945495,0.5875417130144606,0.5479421579532814,0.6551724137931034,0.614238042269188,0.5882745614330753,0.5199110122358176,0.6422691879866519,0.38669485165305784,0.4405384385920912,0.4682981090100111,0.5897664071190212,0.5003337041156841,0.6163088257071175,0.5882745614330753,0.7882091212458286,0.8460511679644049
sentence-camembert-base,0.893981538516678,0.7721913236929923,0.7819799777530589,0.771301446051168,0.9541713014460512,0.9612903225806452,0.8744020523570295,0.8948715151602984,0.939043381535039,0.7797552836484983,0.8238042269187986,0.5666295884315906,0.667630700778643,1.0,0.9319243604004449,0.9126710480327062,0.6404894327030033,0.585761957730812,0.425139043381535,0.8601624260591033,0.9087875417130145,0.9059962232055532,0.9126710480327062,0.8682981090100111,0.7130144605116796,0.8187785121307554,0.8909899888765295,0.9141268075639599,0.9136818687430478,0.9305895439377085,0.8815218655059927,0.9096774193548387,0.889210233592881,0.9037712815965022,0.8553948832035595,0.9234705228031146,0.9256952169076752,0.9474972191323693,0.9385984427141268,0.9233507677561508,0.8963292547274749,0.9012235817575084,0.8699521691389276,0.8966514684475392,0.8972191323692992,0.9328142380422692,0.9452725250278087,0.8797419122187519,0.8619423793463441,0.7112347052280311,0.6671857619577308
embed-multilingual-light-v3.0,0.94471020720304,0.6863181312569522,0.6974416017797553,0.6756395995550611,0.9541713014460512,0.9319243604004449,0.9286906276178731,0.9456001838466604,0.9612903225806452,0.7236929922135706,0.8229143492769744,0.47630700778642937,0.5835372636262514,0.9319243604004449,1.0,0.9754144014079433,0.6275862068965518,0.5590656284760845,0.3935483870967742,0.8744020523570295,0.9448275862068966,0.9504950553865725,0.9580598568573458,0.8309232480533927,0.7170189098998888,0.8210034537398063,0.9132369299221357,0.9746384872080089,0.9648498331479421,0.9528364849833147,0.9113360830672755,0.8709677419354839,0.8229143492769744,0.9407053123067483,0.8353726362625139,0.9319243604004449,0.9417130144605117,0.9804226918798665,0.9866518353726362,0.9803092729478555,0.9590656284760846,0.9159065628476084,0.9095561297800347,0.9126710480327062,0.9457174638487208,0.9123470522803114,0.9506117908787541,0.9260206976870119,0.8494827063356587,0.7170189098998888,0.6538375973303671
embed-multilingual-v3.0,0.9715175789942145,0.6741573075424426,0.6835020623004566,0.6581377279572757,0.9691845649026006,0.9211258261470998,0.9701824655095683,0.9746328437917223,0.972299483155272,0.7386806142049206,0.8165535705217044,0.4367560378567046,0.5629102270898944,0.9126710480327062,0.9754144014079433,1.0,0.5368784102639981,0.48058738755500857,0.3319612880704041,0.9043168669336894,0.9780843313388046,0.9817534490431686,0.9844236760124611,0.7820669755814145,0.6309934403268539,0.8753894080996885,0.9531649853174337,0.9834241912005268,0.9682945882589803,0.9544999502828643,0.9550511793502447,0.8238958778315726,0.7789520573287431,0.9768580329327993,0.7669373726398678,0.9674046116153598,0.972299483155272,0.9518300203520031,0.9865391094531982,0.9862038273253226,0.9856491328095778,0.9429302539157992,0.9417000445037829,0.9501557632398754,0.9696295532244108,0.8726220990697887,0.9349204641232158,0.9595015576323987,0.9181130396083668,0.6697074243243407,0.596729339547469
flaubert_base_cased,0.41317165680076434,0.7459399332591768,0.7512791991101223,0.7766407119021135,0.5172413793103449,0.617797552836485,0.4910446131175481,0.41584158673162547,0.5728587319243604,0.6938820912124583,0.7846496106785317,0.839377085650723,0.7819799777530589,0.6404894327030033,0.6275862068965518,0.5368784102639981,1.0,0.9492769744160178,0.8976640711902113,0.39715207721559737,0.4789766407119021,0.4483257342237696,0.5172989241043495,0.7882091212458286,0.9719688542825361,0.5617977562853689,0.3975528364849833,0.5003337041156841,0.47052280311457173,0.4660734149054505,0.5422182701257203,0.6880978865406007,0.7437152391546162,0.5350984569767573,0.7610678531701891,0.5172413793103449,0.49988876529477194,0.6934371523915461,0.6115684093437153,0.5791523008359664,0.4874304783092325,0.6048943270300333,0.3308488172658786,0.38113249763043044,0.45583982202447165,0.5906562847608454,0.4972191323692992,0.5466681533438222,0.44343086268385745,0.9123470522803114,0.9377085650723026
flaubert_base_uncased,0.3657804005279788,0.6413793103448275,0.6476084538375974,0.6836484983314794,0.457174638487208,0.5328142380422692,0.4409834269139014,0.36444543556254816,0.5078976640711902,0.6075639599555062,0.6738598442714127,0.8513904338153504,0.7873192436040044,0.585761957730812,0.5590656284760845,0.48058738755500857,0.9492769744160178,1.0,0.9043381535038932,0.35999555234444625,0.43759733036707454,0.403159419560035,0.47079764447518435,0.7014460511679644,0.9181312569521691,0.5010568503582775,0.3624026696329255,0.4460511679644049,0.4229143492769744,0.4211345939933259,0.47613750433690666,0.678754171301446,0.7490545050055617,0.4734675744060455,0.7610678531701891,0.46651835372636263,0.44382647385984425,0.6173526140155728,0.5470522803114571,0.5135165233689629,0.425139043381535,0.5394883203559511,0.2923573274292969,0.34308599611565893,0.3935483870967742,0.5314794215795328,0.4442714126807564,0.48058738755500857,0.4004894896291738,0.8402669632925472,0.924805339265851
flaubert_large_cased,0.1891200367693321,0.639599555061179,0.6382647385984427,0.6889877641824249,0.2827586206896552,0.37664071190211346,0.29680721064739884,0.19178996670019324,0.34505005561735264,0.5986651835372636,0.6351501668520578,0.850055617352614,0.7561735261401558,0.425139043381535,0.3935483870967742,0.3319612880704041,0.8976640711902113,0.9043381535038932,1.0,0.1877850718039015,0.2645161290322581,0.22293914922690677,0.3070419420490333,0.6387096774193548,0.8456062291434928,0.42451885900692427,0.20489432703003338,0.2943270300333704,0.2453837597330367,0.24404894327030033,0.3720102370333215,0.5332591768631814,0.6191323692992213,0.33774613625393657,0.614238042269188,0.31167964404894327,0.2796440489432703,0.4696329254727475,0.3886540600667408,0.3564356457699647,0.2676307007786429,0.41490545050055616,0.10234731401634442,0.1633107141043409,0.23381535038932147,0.3704115684093437,0.26807563959955505,0.3675603538152195,0.2990321522564498,0.7939933259176863,0.8669632925472748
e5-mistral-7b-instruct,0.9167779261237206,0.5700300402388574,0.578484818353251,0.5526754956882599,0.9104461064236552,0.8210034537398063,0.8722741433021807,0.9114374721851357,0.8953165034821086,0.6238736271778907,0.702636560138295,0.24808098940918266,0.39870953634193307,0.8601624260591033,0.8744020523570295,0.9043168669336894,0.39715207721559737,0.35999555234444625,0.1877850718039015,1.0,0.9442652188812298,0.914997774810859,0.9345794392523364,0.6120814366499207,0.4756925160150965,0.7405429461504228,0.9237957560779609,0.8979864334129698,0.9242407443997711,0.9028813049528819,0.8446817979528259,0.7313383068950524,0.7157637156316956,0.8744993324432577,0.6454555607856851,0.9095561297800347,0.9175659195726182,0.8436978581521262,0.8864167370459047,0.8811748998664887,0.9059962232055532,0.8525976245883301,0.9283489096573209,0.9581664441477525,0.9148959896417571,0.7969740843620559,0.8766269939660805,0.8647085002225189,0.8700489541611037,0.5250862197360279,0.4427633802011422
multilingual-e5-base,0.9780843313388046,0.628476084538376,0.6391546162402669,0.610678531701891,0.9741935483870968,0.9056729699666296,0.9593948218227764,0.9731894597988924,0.9692992213570634,0.6840934371523916,0.7770856507230256,0.3704115684093437,0.5092324805339266,0.9087875417130145,0.9448275862068966,0.9780843313388046,0.4789766407119021,0.43759733036707454,0.2645161290322581,0.9442652188812298,1.0,0.9829792028787167,0.9896540277058695,0.7294771968854282,0.5666295884315906,0.859272449415483,0.9657397107897664,0.9675194660734149,0.967964404894327,0.950166852057842,0.9411503006285585,0.8068965517241379,0.7677419354838709,0.9611747751100171,0.732146829810901,0.9617352614015573,0.9657397107897664,0.9256952169076752,0.9630700778642937,0.960729786788207,0.9710789766407119,0.9292547274749722,0.942485265593989,0.9754144014079433,0.9724137931034482,0.8616240266963292,0.9305895439377085,0.9460451721684706,0.9264656860088221,0.6182424916573971,0.5377085650723026
multilingual-e5-large,0.9870939029817535,0.5949493862602282,0.6060740943054831,0.5775948417096307,0.9758593897297535,0.905551234883743,0.9581664441477525,0.9839786381842457,0.9527199969956235,0.6714873776115814,0.7306708244123371,0.34775837349466593,0.4734675744060455,0.9059962232055532,0.9504950553865725,0.9817534490431686,0.4483257342237696,0.403159419560035,0.22293914922690677,0.914997774810859,0.9829792028787167,1.0,0.9857587894971073,0.7215485638152281,0.541550787643005,0.840231419670672,0.9736344481207025,0.974524424764323,0.9736344481207025,0.9625097400754478,0.9279038718291055,0.7945266485920999,0.7380131317222053,0.9568313306631063,0.7206585871716078,0.9611747751100171,0.9665146349717395,0.9153409779635673,0.9616197634318274,0.9612817089452603,0.9696295532244108,0.9144510013199469,0.9554962171784601,0.9670672007120605,0.9669596232935497,0.8614973910245339,0.9433752422376095,0.9270137961726747,0.9132176234979973,0.587384584789455,0.5077316751854304
multilingual-e5-small,0.969737427681353,0.6376682651540068,0.6483479848774514,0.6203137206034093,0.972299483155272,0.9086661531364144,0.9550511793502447,0.9661771250556297,0.9647346816844987,0.7035265367819153,0.7862943646386112,0.3993770188246483,0.5179664065870648,0.9126710480327062,0.9580598568573458,0.9844236760124611,0.5172989241043495,0.47079764447518435,0.3070419420490333,0.9345794392523364,0.9896540277058695,0.9857587894971073,1.0,0.744242968227548,0.6016242110873812,0.8700489541611037,0.9593948218227764,0.9674046116153598,0.9656246583281191,0.9460451721684706,0.9465954606141522,0.7940816602702897,0.7549226879509927,0.9657320872274143,0.7264434353551403,0.9669596232935497,0.9682945882589803,0.9349204641232158,0.9687395765807905,0.9657320872274143,0.9669596232935497,0.9398153356631279,0.9385847797062751,0.9581664441477525,0.9629547283972579,0.8459227997611771,0.9229057794343406,0.9421450823319982,0.9190031152647975,0.6559127863482247,0.5767048650660103
